text,raw_text,genre,movie_title,tmdb_id,source,is_synthetic
Ethan always pulls off the impossible! Let's gooo!,Ethan always pulls off the impossible! Let's gooo!,action,Mission: Impossible - Dead Reckoning,575264,gpt_synthetic,True
"This looks insane, can't wait to see the stunts! 🔥","This looks insane, can't wait to see the stunts! 🔥",action,Mission: Impossible - Dead Reckoning,575264,gpt_synthetic,True
"That villain looks like a serious problem, I'm here for it!","That villain looks like a serious problem, I'm here for it!",action,Mission: Impossible - Dead Reckoning,575264,gpt_synthetic,True
"Tom Cruise never disappoints, I'm ready for the ride!","Tom Cruise never disappoints, I'm ready for the ride!",action,Mission: Impossible - Dead Reckoning,575264,gpt_synthetic,True
"This is gonna be a wild one, I can feel it in my bones!","This is gonna be a wild one, I can feel it in my bones!",action,Mission: Impossible - Dead Reckoning,575264,gpt_synthetic,True
"This looks EPIC! Can't believe how far John has come, wow!","This looks EPIC! Can't believe how far John has come, wow!",action,John Wick: Chapter 4,603692,gpt_synthetic,True
Keanu is a legend! Can't wait to see him kick some serious butt again!,Keanu is a legend! Can't wait to see him kick some serious butt again!,action,John Wick: Chapter 4,603692,gpt_synthetic,True
The choreography in these trailers just keeps getting better! I'm so hyped!,The choreography in these trailers just keeps getting better! I'm so hyped!,action,John Wick: Chapter 4,603692,gpt_synthetic,True
My heart can't take all this action! John Wick never disappoints!,My heart can't take all this action! John Wick never disappoints!,action,John Wick: Chapter 4,603692,gpt_synthetic,True
"New enemies, old friends? This is gonna be a wild ride, let's go!","New enemies, old friends? This is gonna be a wild ride, let's go!",action,John Wick: Chapter 4,603692,gpt_synthetic,True
"OMG, I got goosebumps just from the trailer! Can't wait to see Maverick back in action! 🚀🔥","OMG, I got goosebumps just from the trailer! Can't wait to see Maverick back in action! 🚀🔥",action,Top Gun: Maverick,361743,gpt_synthetic,True
"The nostalgia is REAL! This is gonna be epic, just hope it lives up to the original! 🤞","The nostalgia is REAL! This is gonna be epic, just hope it lives up to the original! 🤞",action,Top Gun: Maverick,361743,gpt_synthetic,True
Val Kilmer's return is giving me all the feels. Love how they honored him! 💖,Val Kilmer's return is giving me all the feels. Love how they honored him! 💖,action,Top Gun: Maverick,361743,gpt_synthetic,True
"Dude, the flying scenes look insane! I'm ready for this adrenaline rush! ✈️💨","Dude, the flying scenes look insane! I'm ready for this adrenaline rush! ✈️💨",action,Top Gun: Maverick,361743,gpt_synthetic,True
"Just when I thought they couldn’t top the original, here comes Maverick to prove me wrong! Let's go! 🌟","Just when I thought they couldn’t top the original, here comes Maverick to prove me wrong! Let's go! 🌟",action,Top Gun: Maverick,361743,gpt_synthetic,True
Furiosa is gonna be a total boss in this! 🔥,Furiosa is gonna be a total boss in this! 🔥,action,Mad Max: Furiosa,786892,gpt_synthetic,True
Can’t wait to see all the epic wasteland battles! 🤘,Can’t wait to see all the epic wasteland battles! 🤘,action,Mad Max: Furiosa,786892,gpt_synthetic,True
"This looks wild! The vibes are immaculate, let’s go!","This looks wild! The vibes are immaculate, let’s go!",action,Mad Max: Furiosa,786892,gpt_synthetic,True
"OMG, the action looks INSANE! Count me in! 💥","OMG, the action looks INSANE! Count me in! 💥",action,Mad Max: Furiosa,786892,gpt_synthetic,True
Just when I thought Mad Max couldn’t get better!,Just when I thought Mad Max couldn’t get better!,action,Mad Max: Furiosa,786892,gpt_synthetic,True
This movie hits different every time I watch it 😭❤️,This movie hits different every time I watch it 😭❤️,romance,La La Land,313369,gpt_synthetic,True
"The music, the vibes, just pure magic! 🎶✨","The music, the vibes, just pure magic! 🎶✨",romance,La La Land,313369,gpt_synthetic,True
Can’t get over the chemistry between them! What a love story! 💔🔥,Can’t get over the chemistry between them! What a love story! 💔🔥,romance,La La Land,313369,gpt_synthetic,True
"Just when I thought I was done crying, this trailer comes back... ugh! 😩","Just when I thought I was done crying, this trailer comes back... ugh! 😩",romance,La La Land,313369,gpt_synthetic,True
La La Land will always be my ultimate feel-good movie! 🌟🥹,La La Land will always be my ultimate feel-good movie! 🌟🥹,romance,La La Land,313369,gpt_synthetic,True
Every time I hear 'City of Stars' I get chills! 🎤🌌,Every time I hear 'City of Stars' I get chills! 🎤🌌,romance,La La Land,313369,gpt_synthetic,True
This trailer just hit me in the feels! Can’t wait to see their journey unfold. ❤️,This trailer just hit me in the feels! Can’t wait to see their journey unfold. ❤️,romance,Past Lives,666277,gpt_synthetic,True
"Ugh, the nostalgia is real! Childhood friends always make for the best stories. 🥹","Ugh, the nostalgia is real! Childhood friends always make for the best stories. 🥹",romance,Past Lives,666277,gpt_synthetic,True
I’m already rooting for them! Love how it’s about choices and destiny.,I’m already rooting for them! Love how it’s about choices and destiny.,romance,Past Lives,666277,gpt_synthetic,True
The vibes are vibing! This looks like a beautiful exploration of love and fate. 🌌,The vibes are vibing! This looks like a beautiful exploration of love and fate. 🌌,romance,Past Lives,666277,gpt_synthetic,True
"Wow, this is giving me major butterflies! Can't wait to see how it all plays out!","Wow, this is giving me major butterflies! Can't wait to see how it all plays out!",romance,Past Lives,666277,gpt_synthetic,True
This looks so touching! Reminds me of my own childhood memories with friends.,This looks so touching! Reminds me of my own childhood memories with friends.,romance,Past Lives,666277,gpt_synthetic,True
This trailer gives me all the feels 😭💔,This trailer gives me all the feels 😭💔,romance,The Notebook,11036,gpt_synthetic,True
I can't even. Just thinking about the ending makes me tear up!,I can't even. Just thinking about the ending makes me tear up!,romance,The Notebook,11036,gpt_synthetic,True
Noah and Allie are the ultimate couple goals! ❤️🥺,Noah and Allie are the ultimate couple goals! ❤️🥺,romance,The Notebook,11036,gpt_synthetic,True
"Every time I watch this, I need a whole box of tissues! 😢","Every time I watch this, I need a whole box of tissues! 😢",romance,The Notebook,11036,gpt_synthetic,True
This is why I believe in love stories that last forever... 🥰,This is why I believe in love stories that last forever... 🥰,romance,The Notebook,11036,gpt_synthetic,True
"Can't believe it's been so many years, but this film still hits hard!","Can't believe it's been so many years, but this film still hits hard!",romance,The Notebook,11036,gpt_synthetic,True
"This movie is a total mind f**k, I can't even process what I just saw!","This movie is a total mind f**k, I can't even process what I just saw!",horror,Hereditary,493922,gpt_synthetic,True
The tension in this trailer is insane! I'm already scared and we haven't even watched it yet!,The tension in this trailer is insane! I'm already scared and we haven't even watched it yet!,horror,Hereditary,493922,gpt_synthetic,True
"Hereditary is a masterpiece of horror, like wow.. my heart is racing!","Hereditary is a masterpiece of horror, like wow.. my heart is racing!",horror,Hereditary,493922,gpt_synthetic,True
"Bro, this movie had me sweating bullets. I need to prepare myself before I hit play again!","Bro, this movie had me sweating bullets. I need to prepare myself before I hit play again!",horror,Hereditary,493922,gpt_synthetic,True
The way they build suspense is next level. Can’t wait to see it again!,The way they build suspense is next level. Can’t wait to see it again!,horror,Hereditary,493922,gpt_synthetic,True
"Seriously, does anyone else feel like they need a support group after watching this?","Seriously, does anyone else feel like they need a support group after watching this?",horror,Hereditary,493922,gpt_synthetic,True
This film was haunting in the best way possible. Still gives me chills!,This film was haunting in the best way possible. Still gives me chills!,horror,Hereditary,493922,gpt_synthetic,True
I can't get over how unsettling this movie is. My brain is still trying to catch up!,I can't get over how unsettling this movie is. My brain is still trying to catch up!,horror,Hereditary,493922,gpt_synthetic,True
"This is not just horror, it’s a whole experience! I’m shook!","This is not just horror, it’s a whole experience! I’m shook!",horror,Hereditary,493922,gpt_synthetic,True
"If you love a slow burn that messes with your head, this is your jam!","If you love a slow burn that messes with your head, this is your jam!",horror,Hereditary,493922,gpt_synthetic,True
This movie hits different every time I watch it! 🔥,This movie hits different every time I watch it! 🔥,horror,Get Out,419430,gpt_synthetic,True
The plot twist had me SHOOK! Can’t unsee it now!,The plot twist had me SHOOK! Can’t unsee it now!,horror,Get Out,419430,gpt_synthetic,True
Can't wait to see how this one unfolds. So wild!,Can't wait to see how this one unfolds. So wild!,horror,Get Out,419430,gpt_synthetic,True
"That dinner scene gives me chills every time, wow.","That dinner scene gives me chills every time, wow.",horror,Get Out,419430,gpt_synthetic,True
Every frame of this trailer is pure tension! 😱,Every frame of this trailer is pure tension! 😱,horror,Get Out,419430,gpt_synthetic,True
This is why I never trust the 'nice' family vibe!,This is why I never trust the 'nice' family vibe!,horror,Get Out,419430,gpt_synthetic,True
"Man, this makes me want to scream and cry all at once!","Man, this makes me want to scream and cry all at once!",horror,Get Out,419430,gpt_synthetic,True
"This is social commentary at its finest, y’all! 👏","This is social commentary at its finest, y’all! 👏",horror,Get Out,419430,gpt_synthetic,True
I love how this blends horror with real issues. Genius!,I love how this blends horror with real issues. Genius!,horror,Get Out,419430,gpt_synthetic,True
My mind is still blown from that ending. Can’t stop thinking about it!,My mind is still blown from that ending. Can’t stop thinking about it!,horror,Get Out,419430,gpt_synthetic,True
